completed_at,merchant,category,amount,first,last,gender,street,city,state,role,currency
2019-01-23T15:05:44,Kirlin and Sons,personal_care,5.08,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,Counselling psychologist,CAD
2019-07-01T20:25:42,Metz-Boehm,shopping_pos,4.51,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,Race relations officer,CAD
2020-05-04T16:25:34,Kris-Kertzmann,travel,6.0,Grace,Williams,F,28812 Charles Mill Apt. 628,Plantersville,AL,Drilling engineer,CAD
2020-01-18T11:48:25,Ledner-Pfannerstill,gas_transport,98.44,Jose,Campbell,M,550 Cunningham Squares,Dadeville,AL,Minerals surveyor,CAD
2019-02-18T14:12:34,"Haley, Batz and Auer",health_fitness,131.5,Daniel,Owens,M,88794 Mandy Lodge Apt. 874,Howells,NE,Research scientist (maths),CAD
2019-04-30T01:20:54,Cole PLC,grocery_pos,221.01,Barbara,Norman,F,6278 Stephanie Unions,New York City,NY,Herbalist,CAD
2019-10-02T22:15:59,Hirthe-Beier,health_fitness,213.75,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,Telecommunications researcher,CAD
2020-02-26T02:13:40,"Stehr, Jewess and Schimmel",misc_net,14.16,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,Materials engineer,CAD
2019-12-17T19:36:34,"Kuhic, Bins and Pfeffer",shopping_net,6.22,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,Immunologist,CAD
2019-08-08T19:09:56,Brown Inc,kids_pets,40.47,Michael,Flores,M,70761 Fitzpatrick Brooks Suite 631,Saxon,WI,Television/film/video producer,CAD
2019-08-02T07:05:52,Brekke and Sons,gas_transport,64.32,Pamela,Lewis,F,653 Jessica Extension Apt. 668,Clifton,SC,Museum/gallery conservator,CAD
2019-02-23T19:19:29,Stark-Koss,home,86.96,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,Agricultural consultant,CAD
2019-06-17T02:05:54,Pagac LLC,shopping_pos,747.64,Juan,Taylor,M,7911 Campbell Crossing Apt. 725,Stoneham,MA,Artist,USD
2019-06-10T07:43:30,Padberg-Welch,grocery_pos,181.24,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,"Engineer, control and instrumentation",CAD
2019-06-07T20:37:02,"McDermott, Osinski and Morar",home,150.31,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,"Research officer, trade union",CAD
2019-11-09T18:51:49,Berge-Ullrich,home,95.21,Jessica,Werner,F,4529 Cannon Alley,Center Point,WV,Chief Executive Officer,CAD
2019-05-15T15:26:10,Fahey Inc,kids_pets,30.43,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,Location manager,USD
2020-02-16T11:17:50,Maggio-Fahey,misc_pos,32.59,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,Early years teacher,USD
2020-06-01T22:23:39,Hamill-D'Amore,health_fitness,47.98,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,Building surveyor,CAD
2019-12-09T22:14:55,Bogisich-Weimann,kids_pets,91.35,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,Logistics and distribution manager,CAD
2020-03-15T02:14:56,"Schaefer, McGlynn and Bosco",gas_transport,70.66,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,Maintenance engineer,USD
2019-05-24T14:00:23,Yost-Rogahn,personal_care,20.12,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,"Engineer, control and instrumentation",CAD
2019-06-12T04:00:02,"Tillman, Dickinson and Labadie",gas_transport,72.58,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,Environmental consultant,CAD
2019-12-21T06:09:59,Harris Inc,gas_transport,58.59,Christopher,Horn,M,956 Sanchez Highway,Mallie,KY,Facilities manager,CAD
2019-05-20T12:06:52,Upton PLC,entertainment,9.33,Julian,Price,M,086 Pierce Cove,Pikesville,MD,Company secretary,CAD
2019-05-27T22:48:38,Connelly-Carter,home,85.78,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,PA,Commercial horticulturist,CAD
2020-06-11T11:32:52,Gislason Group,misc_pos,9.87,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,"Education officer, museum",CAD
2020-06-12T21:42:05,Daugherty LLC,kids_pets,17.89,Susan,Hardy,F,516 Brown Parks,Manistique,MI,Trade mark attorney,CAD
2019-12-15T06:15:55,"Kovacek, Dibbert and Ondricka",grocery_pos,101.15,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,"Development worker, international aid",CAD
2019-12-09T04:58:21,Mraz-Herzog,gas_transport,74.74,Joel,Rivera,M,121 Solis Summit Apt. 934,Tryon,OK,"Psychotherapist, child",CAD
2019-10-04T16:54:10,Dickinson Ltd,personal_care,29.46,Laura,Casey,F,6114 Moran Way,Steuben,ME,Make,CAD
2020-05-27T05:18:38,Prohaska-Murray,gas_transport,64.53,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,Early years teacher,CAD
2020-01-17T14:49:51,Berge-Ullrich,home,72.09,Chris,Dixon,M,919 Miller Isle,Williams,IN,Financial adviser,CAD
2020-02-23T22:26:05,Haag-Blanda,food_dining,11.03,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,Materials engineer,USD
2020-02-19T07:33:19,Pfeffer LLC,grocery_net,79.43,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,IT trainer,CAD
2019-07-29T00:18:25,Deckow-O'Conner,grocery_pos,173.55,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,Fisheries officer,CAD
2019-03-09T18:06:19,Abshire PLC,entertainment,23.72,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,Curator,USD
2019-04-08T16:19:02,Medhurst PLC,shopping_net,406.57,Susan,Hardy,F,516 Brown Parks,Manistique,MI,Trade mark attorney,CAD
2019-12-22T21:24:50,Collier LLC,home,9.01,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,Arboriculturist,USD
2019-09-06T07:55:08,O'Keefe-Hudson,grocery_pos,73.38,Shannon,Patterson,F,9808 Ellis Bypass,Mount Morris,NY,Acupuncturist,CAD
2020-05-24T03:00:58,"Rowe, Batz and Goodwin",grocery_pos,200.08,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,"Designer, ceramics/pottery",CAD
2019-06-11T21:24:51,Rempel Inc,shopping_net,185.49,Jose,Campbell,M,550 Cunningham Squares,Dadeville,AL,Minerals surveyor,CAD
2019-05-18T10:50:10,Gleason-Macejkovic,shopping_net,2.31,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,Equities trader,CAD
2019-02-09T18:23:58,McKenzie-Huels,food_dining,68.44,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,Retail merchandiser,CAD
2020-01-20T02:49:34,Lemke-Gutmann,shopping_net,8.29,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,Broadcast presenter,CAD
2019-12-24T13:16:54,Jast-McDermott,shopping_pos,9.14,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,"Engineer, control and instrumentation",CAD
2019-02-19T05:32:22,Deckow-O'Conner,grocery_pos,112.81,Robert,Williams,M,09419 Lewis Rapids,Bay City,MI,Water quality scientist,CAD
2019-11-01T14:54:12,Streich Ltd,home,172.49,Matthew,Young,M,8840 Miller Port Suite 645,Indian Wells,CA,Learning mentor,CAD
2020-03-24T16:32:03,Zulauf LLC,personal_care,13.67,Jim,Johnson,M,868 Brady Mill Apt. 837,Gretna,LA,Biomedical scientist,USD
2019-04-20T20:22:35,Bahringer Group,health_fitness,66.2,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,"Accountant, chartered public finance",CAD
2019-12-30T14:05:40,Bartoletti and Sons,personal_care,6.89,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,Town planner,CAD
2019-03-23T13:06:41,"Turcotte, Batz and Buckridge",health_fitness,29.53,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,Immunologist,USD
2019-08-10T10:44:17,"Herman, Treutel and Dickens",misc_net,7.62,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,Television production assistant,CAD
2019-07-21T12:24:40,Pagac LLC,shopping_pos,6.01,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,Mining engineer,CAD
2019-07-03T21:42:39,"Ruecker, Beer and Collier",shopping_net,7.18,Janet,Turner,F,0925 Lang Extensions,Shields,ND,Film/video editor,CAD
2019-05-11T18:17:56,"Armstrong, Walter and Gottlieb",food_dining,138.01,Jeffrey,Vargas,M,478 Alexandria Mount,Bolton,NC,"Engineer, biomedical",CAD
2019-04-25T15:41:22,Ruecker Group,misc_net,51.61,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,Careers information officer,CAD
2019-06-22T20:33:54,Mohr Inc,shopping_pos,2.95,Grace,Williams,F,28812 Charles Mill Apt. 628,Plantersville,AL,Drilling engineer,USD
2019-06-28T18:18:54,"Cormier, Stracke and Thiel",entertainment,11.42,Timothy,Simmons,M,1049 John Ports Suite 057,Newberg,OR,Research scientist (physical sciences),USD
2020-06-07T22:38:05,Zboncak Ltd,food_dining,9.68,Tamara,Martinez,F,471 Marquez Prairie Suite 680,Matthews,MO,Aeronautical engineer,USD
2019-03-01T15:05:25,Renner Ltd,home,13.34,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,"Engineer, land",CAD
2019-12-06T01:17:42,Wolf Inc,grocery_pos,92.53,Michael,Rowe,M,7428 Martinez Flats,Melbourne,FL,Database administrator,CAD
2019-01-21T16:01:57,"Hyatt, Russel and Gleichner",health_fitness,29.52,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,"Editor, commissioning",CAD
2019-04-12T15:43:04,Abshire PLC,entertainment,14.61,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,Database administrator,USD
2019-08-16T09:32:02,Hudson-Grady,shopping_pos,3.74,Michelle,Beck,F,2887 Olson Road Suite 439,Minneapolis,MN,Analytical chemist,CAD
2019-06-29T17:46:52,Ernser-Feest,home,9.95,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,Site engineer,CAD
2020-06-09T11:23:34,Kassulke Inc,entertainment,11.68,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,"Therapist, occupational",CAD
2019-07-08T23:51:15,Bode-Rempel,kids_pets,70.87,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,Armed forces training and education officer,CAD
2020-03-22T02:41:08,Cummerata-Jones,gas_transport,54.21,Emily,Hall,F,8851 Reese Neck,Basye,VA,"Engineer, mining",USD
2019-06-01T17:11:18,Bauch-Blanda,entertainment,41.34,Donald,Evans,M,1287 Michael Roads,Washoe Valley,NV,Animal nutritionist,CAD
2019-06-16T02:24:15,Wolf Inc,grocery_pos,309.14,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,Drilling engineer,USD
2019-06-20T23:04:03,Terry Ltd,home,50.6,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,Exercise physiologist,CAD
2019-02-02T21:42:09,Runte-Mohr,food_dining,29.3,Jose,Campbell,M,550 Cunningham Squares,Dadeville,AL,Minerals surveyor,USD
2020-04-30T12:33:36,Morissette PLC,shopping_pos,3.09,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,"Engineer, electronics",CAD
2020-04-10T01:08:28,Skiles-Ankunding,grocery_net,62.68,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,Fine artist,USD
2019-03-12T14:31:45,"Crist, Jakubowski and Littel",home,178.85,David,Lewis,M,1499 Michael Rue,Arlington,VA,Mudlogger,USD
2020-05-24T15:35:32,Sawayn PLC,shopping_pos,2.92,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,"Therapist, sports",CAD
2019-04-23T22:16:03,Barrows PLC,shopping_pos,9.36,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,IT trainer,USD
2020-06-16T12:57:14,Bernier and Sons,kids_pets,52.82,Wesley,Parker,M,7452 Browning Port,Mc Intosh,SD,"Designer, industrial/product",CAD
2019-06-09T19:41:19,"Schuppe, Nolan and Hoeger",shopping_pos,2.0,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,Seismic interpreter,CAD
2019-07-31T01:24:39,"Hoppe, Harris and Bednar",entertainment,87.63,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,Licensed conveyancer,CAD
2019-09-21T20:13:40,Bartoletti and Sons,personal_care,2.73,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,Prison officer,USD
2020-01-16T12:40:12,Watsica LLC,personal_care,131.81,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,Naval architect,USD
2019-12-11T00:54:13,"Zieme, Bode and Dooley",gas_transport,49.0,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,Film/video editor,CAD
2019-08-17T16:52:32,Crooks and Sons,personal_care,66.33,Julia,Bell,F,576 House Crossroad,West Sayville,NY,Film/video editor,USD
2019-08-08T20:37:57,"Cronin, Kshlerin and Weber",health_fitness,206.33,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,"Engineer, electronics",USD
2019-01-18T23:45:21,Frami Group,entertainment,7.6,Christina,Rose,F,1984 Taylor Island Suite 836,Falls Church,VA,Chartered accountant,CAD
2019-08-24T03:09:17,"Terry, Johns and Bins",misc_pos,3.57,Aaron,Pena,M,793 Hooper Tunnel Suite 154,Burke,VA,Health visitor,CAD
2020-04-01T19:15:14,Kling-Ernser,entertainment,51.83,Jennifer,Scott,F,376 John Fork Suite 848,Randolph,OH,Mechanical engineer,CAD
2019-09-30T23:29:49,Pacocha-Weissnat,kids_pets,10.63,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,Seismic interpreter,CAD
2019-07-24T10:51:10,Harber Inc,gas_transport,79.33,Toni,Gomez,F,062 Carl Dam,Altona,NY,"Surveyor, land/geomatics",CAD
2020-01-30T19:11:30,Gerhold LLC,home,11.63,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,Radio broadcast assistant,CAD
2019-06-24T11:38:38,Bashirian Group,shopping_net,7.31,Christopher,Holt,M,05597 Michael Spurs,Parks,AZ,"Geologist, engineering",CAD
2020-05-26T23:45:44,Koelpin and Sons,misc_net,1.52,Michael,Fisher,M,401 Escobar Port,East Troy,WI,"Engineer, production",CAD
2019-04-05T19:44:53,"Heathcote, Yost and Kertzmann",shopping_net,5.95,Mackenzie,Smith,F,7178 Willis Drive,Hooper,NE,"Engineer, automotive",CAD
2019-07-17T14:33:16,Botsford and Sons,home,56.77,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,Counsellor,CAD
2019-04-18T00:21:25,"Ferry, Lynch and Kautzer",misc_net,11.24,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,Musician,CAD
2020-01-15T07:17:26,Bechtelar-Rippin,food_dining,104.13,Nathan,Mayer,M,478 Donovan Corners Apt. 803,Schaumburg,IL,Claims inspector/assessor,CAD
2019-02-23T23:04:37,Schimmel-Olson,kids_pets,53.94,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,"Surveyor, rural practice",USD
2020-01-01T16:10:44,"Moore, Williamson and Emmerich",home,84.2,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,Petroleum engineer,CAD
2019-03-28T16:28:40,"Larson, Quitzon and Spencer",travel,4.09,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,Film/video editor,CAD
2019-04-13T00:48:54,Auer-Mosciski,grocery_pos,127.38,Steven,Brooks,M,2622 Reynolds Isle,Manley,NE,Human resources officer,CAD
2020-04-17T13:43:41,"Lang, Towne and Schuppe",kids_pets,83.26,Timothy,Gomez,M,707 Anthony Causeway,Leo,IN,Biomedical engineer,CAD
2020-06-19T19:57:45,Bednar Group,misc_net,172.11,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,"Psychologist, forensic",USD
2020-03-26T12:14:18,Windler LLC,kids_pets,66.15,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,"Designer, ceramics/pottery",USD
2019-02-28T10:26:45,Schmitt Inc,gas_transport,69.36,Monique,Robinson,F,07712 Marcus Divide Apt. 831,Laguna Hills,CA,Sales executive,CAD
2019-08-22T07:43:58,"Herman, Treutel and Dickens",misc_net,49.73,Christie,Williamson,F,519 Jerry Views,Avoca,IA,Engineering geologist,USD
2019-02-28T12:25:16,Kuhn Group,food_dining,22.13,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,Fitness centre manager,CAD
2019-08-12T19:36:10,Klein Group,entertainment,62.38,Susan,Hardy,F,516 Brown Parks,Manistique,MI,Trade mark attorney,CAD
2020-01-16T10:18:09,Deckow-O'Conner,grocery_pos,204.15,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,PA,Commercial horticulturist,CAD
2019-09-21T11:57:26,Kemmer-Buckridge,misc_pos,28.65,Cory,Thomas,M,6458 Roberson Alley,Williamsburg,MO,Glass blower/designer,CAD
2019-12-22T21:47:09,Block-Parisian,misc_net,181.56,Melvin,Wright,M,210 Dean Causeway Suite 130,Alton,IA,"Engineer, land",CAD
2019-09-14T08:52:09,McGlynn-Heathcote,misc_net,111.27,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,Systems developer,USD
2019-10-12T02:12:24,"Lockman, West and Runte",grocery_pos,51.63,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,"Copywriter, advertising",CAD
2019-12-09T15:00:08,"Weber, Thiel and Hammes",kids_pets,14.77,Patricia,Gonzalez,F,8973 Mark Drive,Stephensport,KY,Chartered public finance accountant,USD
2019-10-13T22:39:52,Herzog Ltd,misc_pos,489.33,David,Everett,M,4138 David Fall,Morrisdale,PA,Advice worker,USD
2019-01-15T05:27:08,Block Group,misc_pos,4.66,Ryan,Arnold,M,2056 Michael Wells Apt. 348,Prairie Creek,IN,Materials engineer,CAD
2019-08-06T23:10:39,"Dare, Casper and Bartoletti",kids_pets,22.77,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,Heritage manager,CAD
2020-05-05T06:56:11,"Goldner, Kovacek and Abbott",grocery_pos,81.38,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,Risk analyst,USD
2020-03-30T12:02:14,"Gutmann, McLaughlin and Wiza",home,71.29,Christian,Roman,M,495 Fisher Throughway,Grand Junction,TN,Clothing/textile technologist,CAD
2019-05-13T09:10:50,"Tillman, Dickinson and Labadie",gas_transport,75.33,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,"Research officer, political party",CAD
2020-03-30T18:48:53,"Schuppe, Nolan and Hoeger",shopping_pos,9.11,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,"Surveyor, land/geomatics",CAD
2019-08-07T05:33:28,"Herman, Treutel and Dickens",misc_net,7.03,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,Social researcher,CAD
2020-04-18T05:18:36,Cartwright-Harris,grocery_pos,35.61,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,Herbalist,USD
2019-07-01T12:24:10,Homenick LLC,personal_care,127.06,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,Product/process development scientist,CAD
2019-07-22T06:55:40,Nader-Heller,misc_net,2.26,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,Special educational needs teacher,CAD
2019-03-09T09:08:03,"Swaniawski, Bahringer and Ledner",grocery_net,33.21,John,Stevens,M,428 Morgan River,Hudson,NY,Travel agency manager,CAD
2019-03-05T23:29:53,Kassulke Inc,entertainment,80.16,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,Chartered loss adjuster,CAD
2019-10-26T09:03:33,"Schaefer, McGlynn and Bosco",gas_transport,60.29,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,"Research officer, political party",USD
2019-05-27T09:10:11,"Tillman, Fritsch and Schmitt",misc_net,7.26,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,Ceramics designer,USD
2019-06-21T19:04:17,"McDermott, Osinski and Morar",home,53.52,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,Statistician,CAD
2020-02-28T17:00:24,"Turcotte, Batz and Buckridge",health_fitness,58.35,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,"Copywriter, advertising",CAD
2020-03-09T21:57:31,"Konopelski, Schneider and Hartmann",food_dining,67.93,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,"Psychologist, counselling",CAD
2019-07-14T17:19:30,"Champlin, Rolfson and Connelly",travel,6.91,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,Careers information officer,CAD
2019-10-30T23:06:33,Connelly-Carter,home,19.15,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,Neurosurgeon,CAD
2020-03-30T19:28:49,Balistreri-Nader,misc_pos,228.29,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,Child psychotherapist,CAD
2019-03-04T20:15:13,"O'Connell, Botsford and Hand",home,17.94,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,"Surveyor, rural practice",USD
2019-02-16T00:46:37,Friesen Inc,shopping_pos,4.08,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,Plant breeder/geneticist,CAD
2019-09-20T02:03:44,"Connelly, Reichert and Fritsch",gas_transport,73.33,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,Make,USD
2019-12-07T13:52:14,"Kutch, Steuber and Gerhold",food_dining,31.45,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,Arboriculturist,CAD
2019-06-20T00:21:46,McCullough Group,grocery_net,52.27,Thomas,Jenkins,M,93914 Gregory Via,Oakland,CA,Barista,CAD
2020-03-29T08:52:37,Kutch and Sons,grocery_pos,175.09,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,Paramedic,CAD
2019-09-25T13:35:02,"Monahan, Bogisich and Ledner",misc_pos,2.26,Christian,Johns,M,892 Solis Neck,Lonsdale,MN,Chief Strategy Officer,CAD
2019-12-10T02:59:05,Kiehn-Emmerich,grocery_pos,104.2,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,Mechanical engineer,CAD
2019-05-02T18:49:40,Gaylord-Powlowski,home,44.81,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,Learning disability nurse,CAD
2019-10-21T06:59:09,Friesen-Stamm,gas_transport,78.72,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,Heritage manager,CAD
2019-04-28T17:06:48,"Kutch, Steuber and Gerhold",food_dining,16.89,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,Press sub,CAD
2019-11-02T02:45:27,"Schaefer, McGlynn and Bosco",gas_transport,100.63,Christina,Moore,F,542 Finley Ports Apt. 396,West Finley,PA,Theme park manager,CAD
2020-02-03T20:33:49,"Zboncak, Rowe and Murazik",shopping_net,1.56,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,Lexicographer,CAD
2020-04-07T18:18:14,"Weber, Thiel and Hammes",kids_pets,212.89,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,"Scientist, biomedical",CAD
2019-08-11T15:14:58,McGlynn-Jaskolski,misc_pos,4.7,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,Special educational needs teacher,USD
2020-06-16T22:56:35,Shanahan-Lehner,personal_care,67.22,Jeffrey,Lewis,M,24255 Bryan Square,Palermo,ND,Administrator,CAD
2019-12-16T17:39:41,"Reichert, Rowe and Mraz",shopping_net,1.23,Connor,Grant,M,0654 Kevin Turnpike Apt. 084,Northport,NY,Tour manager,USD
2019-06-30T15:44:12,"Daugherty, Pouros and Beahan",shopping_pos,3.35,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,"Engineer, land",CAD
2019-12-09T21:16:34,Mohr Inc,shopping_pos,5.25,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,Site engineer,CAD
2020-05-01T19:19:46,"Hyatt, Russel and Gleichner",health_fitness,61.75,Andrea,Lewis,F,43075 Cohen Shoals,Ashford,WA,Video editor,CAD
2020-04-12T18:29:14,O'Keefe-Hudson,grocery_pos,68.13,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,Counselling psychologist,CAD
2019-07-14T14:23:15,O'Connell-Ullrich,home,36.72,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,Probation officer,CAD
2019-05-04T23:08:47,Altenwerth-Kilback,home,2.84,Pamela,Lewis,F,653 Jessica Extension Apt. 668,Clifton,SC,Museum/gallery conservator,USD
2019-12-25T14:47:03,Weimann-Lockman,kids_pets,92.77,Alicia,Bishop,F,222 Freeman Islands,Whigham,GA,"Editor, commissioning",CAD
2019-11-04T20:24:58,Pouros-Haag,shopping_pos,1.1,Cassandra,Sanders,F,78117 George Mountains,Paauilo,HI,"Scientist, research (maths)",CAD
2020-06-06T16:55:06,Turner and Sons,shopping_pos,168.13,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,"Designer, furniture",USD
